Run,MinCost,MaxCost,AvgCost,MinTime,MaxTime,AvgTime,NumSolutions,BestSolutionID,TotalRunTime
1,71321,77159,73922.34,210,492,258.28,200,126,51686
2,71126,79145,73938.38,212,500,243.19,200,68,48648
3,70506,78908,73814.50,212,272,238.86,200,109,47779
4,70823,78815,74042.69,212,275,239.24,200,197,47858
5,70876,78396,73932.21,207,270,239.26,200,48,47866
6,71369,78878,73919.59,216,274,238.81,200,96,47774
7,71070,77773,73796.72,217,395,250.78,200,81,50167
8,70748,77466,73962.06,215,356,252.88,200,171,50589
9,71273,77600,73997.89,210,400,255.00,200,169,51005
10,71426,78650,73877.52,215,386,254.81,200,103,50969
11,70931,77528,73821.97,208,369,253.61,200,54,50735
12,71347,78355,73942.39,210,387,252.98,200,162,50598
13,71648,76500,73863.10,215,410,252.51,200,7,50509
14,71045,78424,73915.64,206,376,252.93,200,75,50598
15,71698,77935,73946.76,207,374,254.29,200,134,50865
16,71161,78209,73871.08,207,268,238.97,200,167,47801
17,70637,78166,73797.17,200,278,238.58,200,76,47728
18,71221,78340,73844.27,212,276,239.94,200,197,47994
19,71504,77999,73987.62,213,270,239.75,200,7,47965
20,71236,79121,73935.64,206,273,239.08,200,183,47828

OVERALL,70506,79145,73906.47,200,500,246.68,4000,509,49348.10

RUN TIME STATS:,MinRunTime,MaxRunTime,AvgRunTime
,47728,51686,49348.10
